Date,Open,High,Low,Close,Adj Close,Volume
2024-05-01,167.500000,173.860001,167.500000,171.460007,171.460007,6191900
2024-05-02,173.000000,178.899994,172.250000,178.850006,178.850006,10223700
2024-05-03,179.589996,180.490005,177.899994,179.789993,179.789993,5416300
2024-05-06,180.880005,183.979996,174.710007,178.350006,178.350006,11913400
2024-05-07,177.220001,178.350006,176.130005,176.710007,176.710007,5097500
2024-05-08,175.949997,181.660004,175.949997,180.350006,180.350006,4956800
2024-05-09,179.550003,181.750000,179.309998,181.250000,181.250000,5107400
2024-05-10,181.250000,181.880005,177.919998,178.509995,178.509995,3715500
2024-05-13,179.039993,180.750000,178.070007,178.440002,178.440002,3105200
2024-05-14,180.229996,183.660004,179.630005,180.759995,180.759995,4686500
2024-05-15,180.139999,180.669998,176.169998,176.990005,176.990005,5858900
2024-05-16,177.600006,183.759995,177.250000,182.960007,182.960007,6993200
2024-05-17,183.250000,185.380005,181.220001,184.949997,184.949997,5562400
2024-05-20,184.649994,188.630005,184.009995,186.610001,186.610001,6228600
2024-05-21,185.300003,186.389999,183.110001,184.779999,184.779999,4349100
2024-05-22,184.600006,186.820007,183.410004,186.279999,186.279999,3785400
2024-05-23,185.789993,186.000000,171.610001,172.210007,172.210007,17116000
2024-05-24,173.199997,174.860001,169.570007,174.520004,174.520004,9485000
2024-05-28,174.729996,178.490005,173.380005,175.080002,175.080002,5274400
2024-05-29,173.610001,175.830002,171.610001,171.649994,171.649994,3666400
2024-05-30,172.639999,174.679993,171.550003,172.750000,172.750000,3927900
2024-05-31,173.119995,177.899994,172.210007,177.610001,177.610001,5774500
2024-06-03,178.089996,186.009995,178.020004,184.570007,184.570007,8951600
2024-06-04,185.050003,188.839996,183.250000,188.619995,188.619995,7176800
2024-06-05,187.899994,190.339996,186.529999,189.850006,189.850006,5944000
2024-06-06,188.830002,192.100006,187.350006,191.419998,191.419998,5942200
2024-06-07,190.460007,191.979996,189.660004,190.240005,190.240005,3374500
2024-06-10,190.000000,192.630005,189.600006,190.119995,190.119995,4388300
2024-06-11,189.320007,189.320007,182.750000,185.500000,185.500000,5010100
2024-06-12,186.500000,187.160004,181.710007,182.669998,182.669998,5245200
2024-06-13,181.740005,183.869995,178.990005,180.699997,180.699997,4201000
2024-06-14,178.899994,180.289993,175.220001,177.270004,177.270004,5106000
2024-06-17,176.750000,180.449997,176.320007,178.389999,178.389999,4790000
2024-06-18,177.610001,178.000000,173.820007,174.990005,174.990005,6179900
2024-06-20,173.020004,176.649994,172.050003,176.300003,176.300003,5479300
2024-06-21,176.830002,178.410004,175.660004,176.559998,176.559998,8635100
2024-06-24,176.149994,180.600006,175.589996,179.100006,179.100006,7388300
2024-06-25,176.289993,178.759995,173.289993,175.100006,175.100006,7695100
2024-06-26,174.960007,178.820007,173.759995,178.500000,178.500000,6553900
2024-06-27,178.910004,183.679993,178.009995,182.509995,182.509995,8199000
2024-06-28,182.600006,184.440002,180.649994,182.009995,182.009995,5899900
2024-07-01,182.199997,189.470001,182.199997,186.699997,186.699997,9056700
2024-07-02,186.339996,189.229996,184.520004,185.419998,185.419998,4110500
2024-07-03,185.050003,185.419998,182.850006,184.309998,184.309998,2764800
2024-07-05,184.000000,185.380005,182.229996,184.830002,184.830002,3290400
2024-07-08,186.940002,191.500000,182.279999,185.839996,185.839996,9878100
2024-07-09,185.110001,186.250000,183.149994,183.240005,183.240005,3942900
2024-07-10,183.600006,184.899994,182.800003,183.729996,183.729996,3583200
2024-07-11,184.169998,186.100006,183.399994,183.910004,183.910004,4840600
2024-07-12,183.729996,184.490005,180.449997,182.309998,182.309998,5129300
2024-07-15,183.500000,183.720001,178.880005,179.110001,179.110001,5189000
2024-07-16,180.050003,187.440002,179.199997,186.050003,186.050003,8546400
2024-07-17,185.320007,188.449997,183.789993,184.839996,184.839996,4899600
2024-07-18,184.240005,187.369995,179.880005,180.229996,180.229996,5354800
2024-07-19,181.399994,181.500000,177.389999,179.669998,179.669998,5121300
2024-07-22,181.360001,182.720001,177.229996,178.899994,178.899994,4883500
2024-07-23,179.100006,187.039993,179.000000,186.479996,186.479996,7614300
2024-07-24,185.619995,187.000000,179.970001,180.070007,180.070007,5109100
2024-07-25,179.449997,188.350006,179.449997,184.350006,184.350006,6128000
2024-07-26,185.860001,189.589996,184.630005,186.889999,186.889999,6272000
2024-07-29,186.699997,187.080002,183.830002,185.429993,185.429993,3608600
2024-07-30,186.100006,188.130005,185.149994,186.860001,186.860001,4789000
2024-07-31,189.880005,196.949997,183.860001,190.600006,190.600006,15382404
