Date,Open,High,Low,Close,Adj Close,Volume
2024-05-01,118.279999,118.470001,115.660004,116.029999,115.095146,27777700
2024-05-02,116.260002,117.260002,115.900002,116.239998,115.303452,25513600
2024-05-03,116.000000,116.070000,114.129997,116.000000,115.065392,28023300
2024-05-06,116.669998,118.339996,116.400002,116.750000,115.809349,31401300
2024-05-07,117.279999,117.580002,115.930000,116.169998,115.234016,30122000
2024-05-08,115.709999,116.949997,115.410004,116.150002,115.214180,18957200
2024-05-09,116.199997,118.529999,116.190002,118.440002,117.485733,17564000
2024-05-10,118.540001,118.660004,117.580002,117.959999,117.009598,13648100
2024-05-13,118.419998,119.040001,117.120003,117.910004,116.960007,15060600
2024-05-14,116.790001,117.739998,116.480003,117.669998,117.669998,15079100
2024-05-15,117.610001,118.839996,116.080002,118.580002,118.580002,18244300
2024-05-16,118.540001,119.300003,117.540001,117.870003,117.870003,15745200
2024-05-17,118.300003,119.830002,117.959999,119.639999,119.639999,15104500
2024-05-20,119.730003,119.889999,118.550003,118.669998,118.669998,11551300
2024-05-21,118.400002,119.449997,117.779999,117.849998,117.849998,14495000
2024-05-22,117.459999,117.459999,114.959999,115.480003,115.480003,17879300
2024-05-23,115.599998,117.510002,113.360001,113.510002,113.510002,15979800
2024-05-24,114.839996,115.080002,113.040001,113.419998,113.419998,12211400
2024-05-28,113.519997,115.110001,113.070000,114.860001,114.860001,13978300
2024-05-29,114.529999,114.550003,112.809998,113.629997,113.629997,13902000
2024-05-30,113.269997,114.129997,112.959999,113.989998,113.989998,14692000
2024-05-31,114.120003,117.489998,113.989998,117.260002,117.260002,29037400
2024-06-03,116.300003,116.360001,113.760002,114.449997,114.449997,19589300
2024-06-04,113.000000,113.089996,110.919998,112.669998,112.669998,19412200
2024-06-05,112.889999,113.190002,111.480003,113.120003,113.120003,14863500
2024-06-06,112.750000,114.040001,112.110001,113.970001,113.970001,13154100
2024-06-07,113.790001,114.900002,112.669998,112.750000,112.750000,13289200
2024-06-10,113.059998,114.220001,112.699997,113.080002,113.080002,15245200
2024-06-11,112.489998,112.669998,111.309998,112.169998,112.169998,12462400
2024-06-12,113.300003,113.300003,110.540001,110.930000,110.930000,13606800
2024-06-13,110.839996,110.860001,109.720001,110.040001,110.040001,14466900
2024-06-14,110.019997,110.209999,108.589996,109.110001,109.110001,13313400
2024-06-17,109.169998,109.459999,108.180000,108.360001,108.360001,21147900
2024-06-18,109.029999,110.720001,108.800003,109.379997,109.379997,17762900
2024-06-20,109.910004,112.620003,109.589996,111.739998,111.739998,17433200
2024-06-21,111.900002,112.699997,110.760002,110.760002,110.760002,52220600
2024-06-24,111.639999,114.529999,111.639999,114.050003,114.050003,16266700
2024-06-25,114.110001,114.550003,113.459999,114.370003,114.370003,16213700
2024-06-26,114.389999,114.820000,113.139999,114.410004,114.410004,15771800
2024-06-27,114.989998,114.989998,114.110001,114.900002,114.900002,16812700
2024-06-28,115.860001,116.540001,114.680000,115.120003,115.120003,24565900
2024-07-01,115.709999,116.739998,114.529999,114.959999,114.959999,11972900
2024-07-02,115.900002,115.940002,113.489998,114.180000,114.180000,13326700
2024-07-03,114.269997,115.660004,114.269997,114.760002,114.760002,7732900
2024-07-05,114.610001,114.629997,112.690002,113.370003,113.370003,12631000
2024-07-08,112.389999,113.550003,111.419998,112.180000,112.180000,13350500
2024-07-09,111.110001,112.540001,110.620003,110.940002,110.940002,11727000
2024-07-10,110.919998,111.959999,110.419998,111.919998,111.919998,10004100
2024-07-11,111.430000,113.320000,110.930000,113.250000,113.250000,13082700
2024-07-12,113.989998,114.150002,112.629997,113.269997,113.269997,11684900
2024-07-15,114.269997,116.160004,113.580002,115.209999,115.209999,13032500
2024-07-16,114.349998,116.349998,113.709999,116.040001,116.040001,13614100
2024-07-17,116.739998,118.180000,116.550003,117.639999,117.639999,13602800
2024-07-18,117.949997,119.919998,117.440002,118.800003,118.800003,13033600
2024-07-19,118.589996,118.879997,115.870003,116.070000,116.070000,16157700
2024-07-22,115.180000,115.940002,114.580002,115.269997,115.269997,12065900
2024-07-23,114.809998,115.169998,113.169998,113.410004,113.410004,11251700
2024-07-24,113.769997,115.199997,113.070000,115.010002,115.010002,14925200
2024-07-25,115.169998,118.029999,114.559998,117.430000,117.430000,17021700
2024-07-26,116.769997,118.029999,116.470001,117.330002,117.330002,11252500
2024-07-29,117.320000,117.389999,115.379997,116.099998,116.099998,8861800
2024-07-30,116.360001,118.599998,116.230003,118.169998,118.169998,12483900
2024-07-31,119.639999,119.760002,118.559998,118.589996,118.589996,15114941
